"date","tmean_celsius"
2023-11-10,20.6906485098379
2023-11-11,19.9908333484037
2023-11-12,19.6821751724055
2023-11-13,19.793904923804
2023-11-14,19.2566889256607
2023-11-15,19.0159052342544
2023-11-16,19.9926433045187
2023-11-17,19.9168218165268
2023-11-18,20.0430116253134
2023-11-19,19.6014026783131
2023-11-20,19.2015813380112
2023-11-21,19.0577557599103
2023-11-22,17.6620998806424
2023-11-23,18.3221619405864
2023-11-24,18.0398675612461
2023-11-25,18.4265761387201
2023-11-26,19.2146718719859
2023-11-27,18.4716536156925
2023-11-28,17.9018738546489
2023-11-29,18.9297465760031
2023-11-30,18.7926642523871
2023-12-01,18.9661314410928
2023-12-02,18.2434925220631
2023-12-03,18.9100209177276
2023-12-04,18.2211589295187
2023-12-05,17.4821637188947
2023-12-06,17.3109081127025
2023-12-07,17.3300987714603
2023-12-08,16.7066623263889
2023-12-09,16.3005622769579
2023-12-10,15.3576342924142
2023-12-11,15.4915725519628
2023-12-12,15.6058763292101
2023-12-13,15.4399545175058
2023-12-14,14.6205198688272
2023-12-15,14.9136803897811
2023-12-16,14.5753662862896
2023-12-17,14.849390401958
2023-12-18,14.5988994833864
2023-12-19,14.1294969346788
2023-12-20,13.9033435962818
2023-12-21,13.9599243164063
2023-12-22,14.9391437295042
2023-12-23,15.4834040135513
2023-12-24,15.5935743543837
2023-12-25,14.8613412362558
2023-12-26,15.4898198634018
2023-12-27,14.480665720245
2023-12-28,13.0558904200425
2023-12-29,12.6755596396364
2023-12-30,12.395805754485
2023-12-31,11.7574933087384
